[23295, 10417] 540
[20079, 10417] 334
[21061, 10417] 468
[20745, 10417] 520
[21300, 10417] 498
[18954, 10417] 294
[19484, 10417] 316
[28619, 10417] 854
[30162, 10417] 956
[32062, 10417] 970
[30155, 10417] 958
[30329, 10417] 848
[32202, 10417] 966
[32746, 10417] 1422
[6205, 8236] 144
[6686, 8236] 152
[3527, 8236] 210
[8210, 8236] 74
[16230, 8236] 252
[8643, 8236] 70
[10955, 8236] 520
[11356, 8236] 494
[12593, 8236] 474
[13107, 8236] 470
[16008, 8236] 434
[12670, 8236] 442
[11407, 8236] 494
[11087, 8236] 526
[15365, 8236] 432
[13420, 8236] 442
[14140, 8236] 300
[17207, 8236] 260
[15728, 8236] 454
[18089, 8236] 628
[20006, 8236] 662
[18703, 8236] 548
[18458, 8236] 630
[19155, 8236] 652
[19039, 8236] 366
[27386, 8236] 736
[21116, 8236] 680
[24352, 8236] 722
[23742, 8236] 720
[20848, 8236] 396
[23411, 8236] 522
[23994, 8236] 648
[27316, 8236] 812
[27411, 8236] 770
[27395, 8236] 774
[25182, 8236] 728
[25498, 8236] 800
[27376, 8236] 732
[24027, 8236] 672
[26039, 8236] 712
[23295, 8236] 626
[20079, 8236] 420
[21061, 8236] 554
[20745, 8236] 562
[21300, 8236] 584
[18954, 8236] 380
[19484, 8236] 402
[28619, 8236] 896
[30162, 8236] 1042
[32062, 8236] 1056
[30155, 8236] 1044
[30329, 8236] 934
[32202, 8236] 1052
[32746, 8236] 1464
[6686, 6205] 52
[3527, 6205] 110
[8210, 6205] 130
[16230, 6205] 328
[8643, 6205] 146
[10955, 6205] 596
[11356, 6205] 570
[12593, 6205] 550
[13107, 6205] 546
[16008, 6205] 510
[12670, 6205] 518
[11407, 6205] 570
[11087, 6205] 602
[15365, 6205] 508
[13420, 6205] 518
[14140, 6205] 376
[17207, 6205] 336
[15728, 6205] 530
[18089, 6205] 740
[20006, 6205] 774
[18703, 6205] 660
[18458, 6205] 742
[19155, 6205] 764
[19039, 6205] 442
[27386, 6205] 812
[21116, 6205] 792
[24352, 6205] 834
[23742, 6205] 832
[20848, 6205] 472
[23411, 6205] 598
[23994, 6205] 724
[27316, 6205] 888
[27411, 6205] 846
[27395, 6205] 850
[25182, 6205] 804
[25498, 6205] 876
[27376, 6205] 808
[24027, 6205] 748
[26039, 6205] 788
[23295, 6205] 702
[20079, 6205] 496
[21061, 6205] 630
[20745, 6205] 674
[21300, 6205] 660
[18954, 6205] 456
[19484, 6205] 478
[28619, 6205] 1008
[30162, 6205] 1118
[32062, 6205] 1132
[30155, 6205] 1120
[30329, 6205] 1010
[32202, 6205] 1128
[32746, 6205] 1576
[3527, 6686] 98
[8210, 6686] 138
[16230, 6686] 336
[8643, 6686] 154
[10955, 6686] 604
[11356, 6686] 578
[12593, 6686] 558
[13107, 6686] 554
[16008, 6686] 518
[12670, 6686] 526
[11407, 6686] 578
[11087, 6686] 610
[15365, 6686] 516
[13420, 6686] 526
[14140, 6686] 384
[17207, 6686] 344
[15728, 6686] 538
[18089, 6686] 748
[20006, 6686] 782
[18703, 6686] 668
[18458, 6686] 750
[19155, 6686] 772
[19039, 6686] 450
[27386, 6686] 820
[21116, 6686] 800
[24352, 6686] 842
[23742, 6686] 840
[20848, 6686] 480
[23411, 6686] 606
[23994, 6686] 732
[27316, 6686] 896
[27411, 6686] 854
[27395, 6686] 858
[25182, 6686] 812
[25498, 6686] 884
[27376, 6686] 816
[24027, 6686] 756
[26039, 6686] 796
[23295, 6686] 710
[20079, 6686] 504
[21061, 6686] 638
[20745, 6686] 682
[21300, 6686] 668
[18954, 6686] 464
[19484, 6686] 486
[28619, 6686] 1016
[30162, 6686] 1126
[32062, 6686] 1140
[30155, 6686] 1128
[30329, 6686] 1018
[32202, 6686] 1136
[32746, 6686] 1584
[8210, 3527] 196
[16230, 3527] 394
[8643, 3527] 212
[10955, 3527] 662
[11356, 3527] 636
[12593, 3527] 616
[13107, 3527] 612
[16008, 3527] 576
[12670, 3527] 584
[11407, 3527] 636
[11087, 3527] 668
[15365, 3527] 574
[13420, 3527] 584
[14140, 3527] 442
[17207, 3527] 402
[15728, 3527] 596
[18089, 3527] 806
[20006, 3527] 840
[18703, 3527] 726
[18458, 3527] 808
[19155, 3527] 830
[19039, 3527] 508
[27386, 3527] 878
[21116, 3527] 858
[24352, 3527] 900
[23742, 3527] 898
[20848, 3527] 538
[23411, 3527] 664
[23994, 3527] 790
[27316, 3527] 954
[27411, 3527] 912
[27395, 3527] 916
[25182, 3527] 870
[25498, 3527] 942
[27376, 3527] 874
[24027, 3527] 814
[26039, 3527] 854
[23295, 3527] 768
[20079, 3527] 562
[21061, 3527] 696
[20745, 3527] 740
[21300, 3527] 726
[18954, 3527] 522
[19484, 3527] 544
[28619, 3527] 1074
[30162, 3527] 1184
[32062, 3527] 1198
[30155, 3527] 1186
[30329, 3527] 1076
[32202, 3527] 1194
[32746, 3527] 1642
[16230, 8210] 246
[8643, 8210] 64
[10955, 8210] 514
[11356, 8210] 488
[12593, 8210] 468
[13107, 8210] 464
[16008, 8210] 428
[12670, 8210] 436
[11407, 8210] 488
[11087, 8210] 520
[15365, 8210] 426
[13420, 8210] 436
[14140, 8210] 294
[17207, 8210] 254
[15728, 8210] 448
[18089, 8210] 670
[20006, 8210] 700
[18703, 8210] 586
[18458, 8210] 672
[19155, 8210] 690
[19039, 8210] 360
[27386, 8210] 730
[21116, 8210] 718
[24352, 8210] 760
[23742, 8210] 758
[20848, 8210] 390
[23411, 8210] 516
[23994, 8210] 642
[27316, 8210] 806
[27411, 8210] 764
[27395, 8210] 768
[25182, 8210] 722
[25498, 8210] 794
[27376, 8210] 726
[24027, 8210] 666
[26039, 8210] 706
[23295, 8210] 620
[20079, 8210] 414
[21061, 8210] 548
[20745, 8210] 600
[21300, 8210] 578
[18954, 8210] 374
[19484, 8210] 396
[28619, 8210] 934
[30162, 8210] 1036
[32062, 8210] 1050
[30155, 8210] 1038
[30329, 8210] 928
[32202, 8210] 1046
[32746, 8210] 1502
[8643, 16230] 222
[10955, 16230] 316
[11356, 16230] 290
[12593, 16230] 270
[13107, 16230] 266
[16008, 16230] 230
[12670, 16230] 238
[11407, 16230] 290
[11087, 16230] 322
[15365, 16230] 228
[13420, 16230] 238
[14140, 16230] 96
[17207, 16230] 32
[15728, 16230] 250
[18089, 16230] 548
[20006, 16230] 482
[18703, 16230] 368
[18458, 16230] 522
[19155, 16230] 472
[19039, 16230] 142
[27386, 16230] 512
[21116, 16230] 500
[24352, 16230] 542
[23742, 16230] 540
[20848, 16230] 172
[23411, 16230] 298
[23994, 16230] 424
[27316, 16230] 588
[27411, 16230] 546
[27395, 16230] 550
[25182, 16230] 504
[25498, 16230] 576
[27376, 16230] 508
