[27316, 10635] 730
[27395, 10635] 692
[25182, 10635] 646
[25498, 10635] 718
[24027, 10635] 590
[23295, 10635] 544
[20079, 10635] 338
[18954, 10635] 298
[28619, 10635] 858
[32062, 10635] 974
[30329, 10635] 852
[32202, 10635] 970
[32746, 10635] 1426
[8236, 10417] 258
[6205, 10417] 334
[6686, 10417] 342
[3527, 10417] 400
[8210, 10417] 252
[8643, 10417] 228
[10955, 10417] 434
[11356, 10417] 408
[12593, 10417] 388
[13107, 10417] 384
[11087, 10417] 440
[15365, 10417] 346
[14140, 10417] 214
[17207, 10417] 174
[15728, 10417] 368
[18089, 10417] 686
[19039, 10417] 280
[24352, 10417] 680
[23742, 10417] 678
[20848, 10417] 310
[23411, 10417] 436
[27316, 10417] 726
[27395, 10417] 688
[25182, 10417] 642
[25498, 10417] 714
[24027, 10417] 586
[23295, 10417] 540
[20079, 10417] 334
[18954, 10417] 294
[28619, 10417] 854
[32062, 10417] 970
[30329, 10417] 848
[32202, 10417] 966
[32746, 10417] 1422
[6205, 8236] 144
[6686, 8236] 152
[3527, 8236] 210
[8210, 8236] 74
[8643, 8236] 70
[10955, 8236] 520
[11356, 8236] 494
[12593, 8236] 474
[13107, 8236] 470
[11087, 8236] 526
[15365, 8236] 432
[14140, 8236] 300
[17207, 8236] 260
[15728, 8236] 454
[18089, 8236] 628
[19039, 8236] 366
[24352, 8236] 722
[23742, 8236] 720
[20848, 8236] 396
[23411, 8236] 522
[27316, 8236] 812
[27395, 8236] 774
[25182, 8236] 728
[25498, 8236] 800
[24027, 8236] 672
[23295, 8236] 626
[20079, 8236] 420
[18954, 8236] 380
[28619, 8236] 896
[32062, 8236] 1056
[30329, 8236] 934
[32202, 8236] 1052
[32746, 8236] 1464
[6686, 6205] 52
[3527, 6205] 110
[8210, 6205] 130
[8643, 6205] 146
[10955, 6205] 596
[11356, 6205] 570
[12593, 6205] 550
[13107, 6205] 546
[11087, 6205] 602
[15365, 6205] 508
[14140, 6205] 376
[17207, 6205] 336
[15728, 6205] 530
[18089, 6205] 740
[19039, 6205] 442
[24352, 6205] 834
[23742, 6205] 832
[20848, 6205] 472
[23411, 6205] 598
[27316, 6205] 888
[27395, 6205] 850
[25182, 6205] 804
[25498, 6205] 876
[24027, 6205] 748
[23295, 6205] 702
[20079, 6205] 496
[18954, 6205] 456
[28619, 6205] 1008
[32062, 6205] 1132
[30329, 6205] 1010
[32202, 6205] 1128
[32746, 6205] 1576
[3527, 6686] 98
[8210, 6686] 138
[8643, 6686] 154
[10955, 6686] 604
[11356, 6686] 578
[12593, 6686] 558
[13107, 6686] 554
[11087, 6686] 610
[15365, 6686] 516
[14140, 6686] 384
[17207, 6686] 344
[15728, 6686] 538
[18089, 6686] 748
[19039, 6686] 450
[24352, 6686] 842
[23742, 6686] 840
[20848, 6686] 480
[23411, 6686] 606
[27316, 6686] 896
[27395, 6686] 858
[25182, 6686] 812
[25498, 6686] 884
[24027, 6686] 756
[23295, 6686] 710
[20079, 6686] 504
[18954, 6686] 464
[28619, 6686] 1016
[32062, 6686] 1140
[30329, 6686] 1018
[32202, 6686] 1136
[32746, 6686] 1584
[8210, 3527] 196
[8643, 3527] 212
[10955, 3527] 662
[11356, 3527] 636
[12593, 3527] 616
[13107, 3527] 612
[11087, 3527] 668
[15365, 3527] 574
[14140, 3527] 442
[17207, 3527] 402
[15728, 3527] 596
[18089, 3527] 806
[19039, 3527] 508
[24352, 3527] 900
[23742, 3527] 898
[20848, 3527] 538
[23411, 3527] 664
[27316, 3527] 954
[27395, 3527] 916
[25182, 3527] 870
[25498, 3527] 942
[24027, 3527] 814
[23295, 3527] 768
[20079, 3527] 562
[18954, 3527] 522
[28619, 3527] 1074
[32062, 3527] 1198
[30329, 3527] 1076
[32202, 3527] 1194
[32746, 3527] 1642
[8643, 8210] 64
[10955, 8210] 514
[11356, 8210] 488
[12593, 8210] 468
[13107, 8210] 464
[11087, 8210] 520
[15365, 8210] 426
[14140, 8210] 294
[17207, 8210] 254
[15728, 8210] 448
[18089, 8210] 670
[19039, 8210] 360
[24352, 8210] 760
[23742, 8210] 758
[20848, 8210] 390
[23411, 8210] 516
[27316, 8210] 806
[27395, 8210] 768
[25182, 8210] 722
[25498, 8210] 794
[24027, 8210] 666
[23295, 8210] 620
[20079, 8210] 414
[18954, 8210] 374
[28619, 8210] 934
[32062, 8210] 1050
[30329, 8210] 928
[32202, 8210] 1046
[32746, 8210] 1502
[10955, 8643] 490
[11356, 8643] 464
[12593, 8643] 444
[13107, 8643] 440
[11087, 8643] 496
[15365, 8643] 402
[14140, 8643] 270
[17207, 8643] 230
[15728, 8643] 424
[18089, 8643] 666
[19039, 8643] 336
[24352, 8643] 736
[23742, 8643] 734
[20848, 8643] 366
[23411, 8643] 492
[27316, 8643] 782
[27395, 8643] 744
[25182, 8643] 698
[25498, 8643] 770
[24027, 8643] 642
[23295, 8643] 596
[20079, 8643] 390
[18954, 8643] 350
[28619, 8643] 910
[32062, 8643] 1026
[30329, 8643] 904
[32202, 8643] 1022
[32746, 8643] 1478
[11356, 10955] 74
[12593, 10955] 118
[13107, 10955] 114
[11087, 10955] 50
[15365, 10955] 128
[14140, 10955] 232
[17207, 10955] 328
[15728, 10955] 134
[18089, 10955] 844
[19039, 10955] 438
[24352, 10955] 838
[23742, 10955] 836
[20848, 10955] 468
[23411, 10955] 594
[27316, 10955] 884
[27395, 10955] 846
[25182, 10955] 800
[25498, 10955] 872
[24027, 10955] 744
[23295, 10955] 698
[20079, 10955] 492
[18954, 10955] 452
[28619, 10955] 1012
[32062, 10955] 1128
[30329, 10955] 1006
[32202, 10955] 1124
[32746, 10955] 1580
[12593, 11356] 88
[13107, 11356] 84
[11087, 11356] 80
[15365, 11356] 102
[14140, 11356] 206
[17207, 11356] 302
[15728, 11356] 104
[18089, 11356] 818
[19039, 11356] 412
[24352, 11356] 812
[23742, 11356] 810
[20848, 11356] 442
[23411, 11356] 568
[27316, 11356] 858
[27395, 11356] 820
[25182, 11356] 774
[25498, 11356] 846
[24027, 11356] 718
[23295, 11356] 672
[20079, 11356] 466
[18954, 11356] 426
[28619, 11356] 986
[32062, 11356] 1102
[30329, 11356] 980
[32202, 11356] 1098
[32746, 11356] 1554
[13107, 12593] 20
[11087, 12593] 124
[15365, 12593] 82
[14140, 12593] 186
[17207, 12593] 282
[15728, 12593] 60
[18089, 12593] 798
[19039, 12593] 392
[24352, 12593] 792
[23742, 12593] 790
[20848, 12593] 422
[23411, 12593] 548
[27316, 12593] 838
[27395, 12593] 800
[25182, 12593] 754
[25498, 12593] 826
[24027, 12593] 698
[23295, 12593] 652
[20079, 12593] 446
[18954, 12593] 406
[28619, 12593] 966
[32062, 12593] 1082
[30329, 12593] 960
[32202, 12593] 1078
[32746, 12593] 1534
[11087, 13107] 120
[15365, 13107] 78
[14140, 13107] 182
[17207, 13107] 278
[15728, 13107] 56
[18089, 13107] 794
[19039, 13107] 388
[24352, 13107] 788
[23742, 13107] 786
[20848, 13107] 418
[23411, 13107] 544
[27316, 13107] 834
[27395, 13107] 796
[25182, 13107] 750
[25498, 13107] 822
[24027, 13107] 694
[23295, 13107] 648
[20079, 13107] 442
[18954, 13107] 402
[28619, 13107] 962
[32062, 13107] 1078
[30329, 13107] 956
[32202, 13107] 1074
[32746, 13107] 1530
[15365, 11087] 134
