		ˆÚ“®‹——£	ˆÚ“®‘¬“x	ˆÚ“®ŽžŠÔ
[8643	24352]	716	1.1	10.84848485
[8643	23742]	698	1.1	10.57575758
[8643	23411]	480	1.1	7.272727273
[8643	24027]	594	1.1	9
[8643	23295]	564	1.1	8.545454545
[8643	28619]	890	1.1	13.48484848
[8643	32746]	1458	1.1	22.09090909
[11087	8211]	714	1.1	10.81818182
[11087	7823]	632	1.1	9.575757576
[11087	6679]	676	1.1	10.24242424
[11087	4626]	758	1.1	11.48484848
[11087	7671]	724	1.1	10.96969697
[11087	1592]	672	1.1	10.18181818
[11087	1813]	678	1.1	10.27272727
[11087	8169]	444	1.1	6.727272727
[11087	10635]	364	1.1	5.515151515
[11087	8236]	466	1.1	7.060606061
[11087	6205]	538	1.1	8.151515152
[11087	6686]	534	1.1	8.090909091
[11087	8643]	432	1.1	6.545454545
[11087	14140]	194	1.1	2.939393939
[11087	15728]	120	1.1	1.818181818
[11087	18089]	758	1.1	11.48484848
[11087	24352]	780	1.1	11.81818182
[11087	23742]	762	1.1	11.54545455
[11087	23411]	544	1.1	8.242424242
[11087	24027]	658	1.1	9.96969697
[11087	23295]	628	1.1	9.515151515
[11087	28619]	954	1.1	14.45454545
[11087	32746]	1522	1.1	23.06060606
[14140	8211]	524	1.1	7.939393939
[14140	7823]	442	1.1	6.696969697
[14140	6679]	486	1.1	7.363636364
[14140	4626]	568	1.1	8.606060606
[14140	7671]	534	1.1	8.090909091
[14140	1592]	482	1.1	7.303030303
[14140	1813]	488	1.1	7.393939394
[14140	8169]	254	1.1	3.848484848
[14140	10635]	174	1.1	2.636363636
[14140	8236]	276	1.1	4.181818182
[14140	6205]	348	1.1	5.272727273
[14140	6686]	344	1.1	5.212121212
[14140	8643]	242	1.1	3.666666667
[14140	11087]	194	1.1	2.939393939
[14140	15728]	162	1.1	2.454545455
[14140	18089]	572	1.1	8.666666667
[14140	24352]	598	1.1	9.060606061
[14140	23742]	580	1.1	8.787878788
[14140	23411]	362	1.1	5.484848485
[14140	24027]	476	1.1	7.212121212
[14140	23295]	446	1.1	6.757575758
[14140	28619]	772	1.1	11.6969697
[14140	32746]	1340	1.1	20.3030303
[15728	8211]	682	1.1	10.33333333
[15728	7823]	600	1.1	9.090909091
[15728	6679]	644	1.1	9.757575758
[15728	4626]	726	1.1	11
[15728	7671]	692	1.1	10.48484848
[15728	1592]	640	1.1	9.696969697
[15728	1813]	646	1.1	9.787878788
[15728	8169]	412	1.1	6.242424242
[15728	10635]	332	1.1	5.03030303
[15728	8236]	434	1.1	6.575757576
[15728	6205]	506	1.1	7.666666667
[15728	6686]	502	1.1	7.606060606
[15728	8643]	400	1.1	6.060606061
[15728	11087]	120	1.1	1.818181818
[15728	14140]	162	1.1	2.454545455
